Education,JoiningYear,City,PaymentTier,Age,Gender,EverBenched,ExperienceInCurrentDomain,LeaveOrNot,Salary
Bachelors,2017,Bangalore,3,34,Male,No,0,0,102161
Bachelors,2013,Pune,1,28,Female,No,3,1,90309
Bachelors,2014,New Delhi,3,38,Female,No,2,0,68602
Masters,2016,Bangalore,3,27,Male,No,5,1,37146
Masters,2017,Pune,3,24,Male,Yes,2,1,48133
Bachelors,2016,Bangalore,3,22,Male,No,0,0,114071
Bachelors,2015,New Delhi,3,38,Male,No,0,0,42793
Bachelors,2016,Bangalore,3,34,Female,No,2,1,43682
Bachelors,2016,Pune,3,23,Male,No,1,0,48654
Masters,2017,New Delhi,2,37,Male,No,2,0,90116
Masters,2012,Bangalore,3,27,Male,No,5,1,48752
Bachelors,2016,Pune,3,34,Male,No,3,0,71061
Bachelors,2018,Pune,3,32,Male,Yes,5,1,102851
Bachelors,2016,Bangalore,3,39,Male,No,2,0,76188
Bachelors,2012,Bangalore,3,37,Male,No,4,0,54681
Bachelors,2017,Bangalore,1,29,Male,No,3,0,33399
Bachelors,2014,Bangalore,3,34,Female,No,2,0,40809
Bachelors,2014,Pune,3,34,Male,No,4,0,54451
Bachelors,2015,Pune,2,30,Female,No,0,1,108410
Bachelors,2016,New Delhi,2,22,Female,No,0,1,75499
Bachelors,2012,Bangalore,3,37,Male,No,0,0,54013
Masters,2017,New Delhi,2,28,Male,No,4,0,118612
Bachelors,2017,New Delhi,2,36,Male,No,3,0,60232
Bachelors,2015,Bangalore,3,27,Male,Yes,5,0,33740
Bachelors,2017,Bangalore,3,29,Male,No,4,0,108927
Bachelors,2013,Bangalore,3,22,Female,Yes,0,0,96417
Bachelors,2016,Bangalore,3,37,Male,No,2,0,43429
Bachelors,2015,Bangalore,3,23,Male,No,1,0,63677
Bachelors,2013,Pune,2,31,Female,No,2,1,81639
Masters,2017,New Delhi,2,30,Female,No,2,0,51047
PHD,2013,New Delhi,3,25,Male,No,3,0,67727
Bachelors,2014,Bangalore,3,23,Male,No,1,0,57362
Bachelors,2018,Bangalore,3,26,Male,No,4,1,79081
Bachelors,2016,Bangalore,3,40,Male,No,5,0,102194
Bachelors,2017,Pune,2,37,Female,No,0,1,91729
Bachelors,2014,Bangalore,1,30,Female,No,3,0,94600
Bachelors,2012,New Delhi,3,29,Male,No,3,0,51461
Bachelors,2018,New Delhi,2,34,Female,No,0,1,45701
Bachelors,2017,Pune,2,29,Female,No,2,1,46537
Bachelors,2014,Pune,3,30,Male,Yes,4,0,101865
Bachelors,2015,Bangalore,3,36,Male,No,1,0,67357
Masters,2017,New Delhi,2,23,Male,No,1,0,114601
Bachelors,2013,Bangalore,3,30,Male,No,3,1,67726
Bachelors,2014,Bangalore,3,36,Male,No,0,0,83106
Bachelors,2015,Pune,3,39,Male,No,4,0,64969
Bachelors,2014,Bangalore,3,23,Female,No,1,0,44251
PHD,2012,New Delhi,3,27,Male,No,5,0,89297
Masters,2013,New Delhi,3,35,Male,No,2,0,66181
Masters,2017,New Delhi,2,34,Male,No,0,0,111597
Bachelors,2013,Bangalore,3,30,Female,No,1,0,78170
PHD,2017,New Delhi,3,34,Male,No,2,0,34537
Bachelors,2015,Pune,2,26,Female,No,4,1,90545
Bachelors,2016,Bangalore,3,34,Female,No,0,0,112607
Bachelors,2014,Bangalore,3,31,Female,Yes,5,0,69738
Bachelors,2017,New Delhi,3,31,Female,Yes,5,0,80636
PHD,2013,New Delhi,3,28,Male,No,2,0,83327
Bachelors,2016,Bangalore,3,38,Male,No,2,0,35712
Masters,2014,Pune,3,39,Female,No,2,0,75148
Bachelors,2013,Pune,3,32,Male,No,4,0,46048
Masters,2017,Pune,2,36,Male,No,2,1,113691
Masters,2013,New Delhi,3,29,Male,No,3,0,99731
Bachelors,2015,Bangalore,3,30,Male,No,5,0,108213
PHD,2013,Bangalore,2,25,Male,No,3,1,95631
Bachelors,2014,Pune,1,22,Female,No,0,1,45648
Bachelors,2016,Bangalore,3,34,Male,No,4,0,96154
Bachelors,2018,Bangalore,3,40,Male,No,1,1,74989
PHD,2013,Bangalore,3,26,Male,No,4,0,57224
Bachelors,2014,New Delhi,3,28,Male,No,0,0,52746
Bachelors,2015,Bangalore,3,24,Female,No,2,0,48511
Masters,2017,Bangalore,3,40,Female,No,2,1,43486
Bachelors,2018,Bangalore,3,23,Female,No,1,1,83426
Masters,2017,Bangalore,3,31,Male,No,4,0,35588
Bachelors,2014,Pune,3,25,Female,No,3,0,45913
Bachelors,2014,Bangalore,1,27,Male,No,5,0,78470
Masters,2017,New Delhi,2,25,Female,No,3,1,107944
Bachelors,2015,Bangalore,3,40,Male,No,0,1,69928
Bachelors,2014,Bangalore,1,23,Female,No,1,0,62329
Bachelors,2017,Bangalore,3,23,Female,No,1,0,96467
Bachelors,2012,Bangalore,3,39,Male,No,1,0,63062
PHD,2015,New Delhi,1,37,Male,No,1,0,87796
Bachelors,2017,Pune,3,38,Male,No,2,0,77942
Bachelors,2013,Bangalore,3,31,Female,No,0,1,110643
Bachelors,2016,Bangalore,3,38,Male,No,5,0,48677
Bachelors,2017,Bangalore,3,25,Female,No,3,0,105090
Bachelors,2015,Bangalore,3,27,Female,Yes,5,1,30627
Bachelors,2016,Pune,2,36,Male,No,0,1,38476
Bachelors,2017,Pune,2,27,Female,No,5,1,108987
Masters,2015,Pune,2,32,Female,No,4,0,54272
Bachelors,2014,Bangalore,3,28,Male,No,4,0,103442
Masters,2012,New Delhi,3,32,Male,No,2,0,41868
Bachelors,2018,Bangalore,3,30,Male,No,0,1,100289
Bachelors,2015,New Delhi,3,22,Male,No,0,0,83707
Bachelors,2017,New Delhi,2,34,Female,No,5,0,83635
Masters,2013,New Delhi,3,36,Male,No,2,0,102736
Bachelors,2014,Bangalore,3,39,Male,No,3,1,32972
PHD,2018,Bangalore,3,26,Male,No,4,1,71717
Bachelors,2016,Bangalore,3,31,Female,No,0,0,99397
Bachelors,2014,Bangalore,3,27,Male,No,5,1,70408
Bachelors,2014,Bangalore,3,29,Female,No,0,0,103716
