Education,JoiningYear,City,PaymentTier,Age,Gender,EverBenched,ExperienceInCurrentDomain,LeaveOrNot,Salary
Bachelors,2017,Bangalore,3,34,Male,No,0,0,62439
Bachelors,2013,Pune,1,28,Female,No,3,1,106995
Bachelors,2014,New Delhi,3,38,Female,No,2,0,103760
Masters,2016,Bangalore,3,27,Male,No,5,1,105078
Masters,2017,Pune,3,24,Male,Yes,2,1,40411
Bachelors,2016,Bangalore,3,22,Male,No,0,0,54431
Bachelors,2015,New Delhi,3,38,Male,No,0,0,36363
Bachelors,2016,Bangalore,3,34,Female,No,2,1,70713
Bachelors,2016,Pune,3,23,Male,No,1,0,99785
Masters,2017,New Delhi,2,37,Male,No,2,0,37726
Masters,2012,Bangalore,3,27,Male,No,5,1,70070
Bachelors,2016,Pune,3,34,Male,No,3,0,35629
Bachelors,2018,Pune,3,32,Male,Yes,5,1,45629
Bachelors,2016,Bangalore,3,39,Male,No,2,0,110259
Bachelors,2012,Bangalore,3,37,Male,No,4,0,112469
Bachelors,2017,Bangalore,1,29,Male,No,3,0,115059
Bachelors,2014,Bangalore,3,34,Female,No,2,0,33448
Bachelors,2014,Pune,3,34,Male,No,4,0,55109
Bachelors,2015,Pune,2,30,Female,No,0,1,52465
Bachelors,2016,New Delhi,2,22,Female,No,0,1,116205
Bachelors,2012,Bangalore,3,37,Male,No,0,0,82623
Masters,2017,New Delhi,2,28,Male,No,4,0,115090
Bachelors,2017,New Delhi,2,36,Male,No,3,0,118730
Bachelors,2015,Bangalore,3,27,Male,Yes,5,0,51859
Bachelors,2017,Bangalore,3,29,Male,No,4,0,71102
Bachelors,2013,Bangalore,3,22,Female,Yes,0,0,55045
Bachelors,2016,Bangalore,3,37,Male,No,2,0,53305
Bachelors,2015,Bangalore,3,23,Male,No,1,0,87185
Bachelors,2013,Pune,2,31,Female,No,2,1,88565
Masters,2017,New Delhi,2,30,Female,No,2,0,67243
PHD,2013,New Delhi,3,25,Male,No,3,0,80487
Bachelors,2014,Bangalore,3,23,Male,No,1,0,80631
Bachelors,2018,Bangalore,3,26,Male,No,4,1,80257
Bachelors,2016,Bangalore,3,40,Male,No,5,0,116730
Bachelors,2017,Pune,2,37,Female,No,0,1,74629
Bachelors,2014,Bangalore,1,30,Female,No,3,0,30499
Bachelors,2012,New Delhi,3,29,Male,No,3,0,61217
Bachelors,2018,New Delhi,2,34,Female,No,0,1,101986
Bachelors,2017,Pune,2,29,Female,No,2,1,84338
Bachelors,2014,Pune,3,30,Male,Yes,4,0,117412
Bachelors,2015,Bangalore,3,36,Male,No,1,0,84355
Masters,2017,New Delhi,2,23,Male,No,1,0,107692
Bachelors,2013,Bangalore,3,30,Male,No,3,1,46127
Bachelors,2014,Bangalore,3,36,Male,No,0,0,89168
Bachelors,2015,Pune,3,39,Male,No,4,0,103463
Bachelors,2014,Bangalore,3,23,Female,No,1,0,49476
PHD,2012,New Delhi,3,27,Male,No,5,0,74977
Masters,2013,New Delhi,3,35,Male,No,2,0,110352
Masters,2017,New Delhi,2,34,Male,No,0,0,67236
Bachelors,2013,Bangalore,3,30,Female,No,1,0,114665
PHD,2017,New Delhi,3,34,Male,No,2,0,36661
Bachelors,2015,Pune,2,26,Female,No,4,1,56194
Bachelors,2016,Bangalore,3,34,Female,No,0,0,112066
Bachelors,2014,Bangalore,3,31,Female,Yes,5,0,105045
Bachelors,2017,New Delhi,3,31,Female,Yes,5,0,115006
PHD,2013,New Delhi,3,28,Male,No,2,0,59224
Bachelors,2016,Bangalore,3,38,Male,No,2,0,102475
Masters,2014,Pune,3,39,Female,No,2,0,97919
Bachelors,2013,Pune,3,32,Male,No,4,0,79485
Masters,2017,Pune,2,36,Male,No,2,1,107088
Masters,2013,New Delhi,3,29,Male,No,3,0,81346
Bachelors,2015,Bangalore,3,30,Male,No,5,0,115955
PHD,2013,Bangalore,2,25,Male,No,3,1,34589
Bachelors,2014,Pune,1,22,Female,No,0,1,88968
Bachelors,2016,Bangalore,3,34,Male,No,4,0,88856
Bachelors,2018,Bangalore,3,40,Male,No,1,1,104703
PHD,2013,Bangalore,3,26,Male,No,4,0,63011
Bachelors,2014,New Delhi,3,28,Male,No,0,0,65304
Bachelors,2015,Bangalore,3,24,Female,No,2,0,75496
Masters,2017,Bangalore,3,40,Female,No,2,1,64843
Bachelors,2018,Bangalore,3,23,Female,No,1,1,83233
Masters,2017,Bangalore,3,31,Male,No,4,0,113227
Bachelors,2014,Pune,3,25,Female,No,3,0,79907
Bachelors,2014,Bangalore,1,27,Male,No,5,0,67014
Masters,2017,New Delhi,2,25,Female,No,3,1,119520
Bachelors,2015,Bangalore,3,40,Male,No,0,1,40153
Bachelors,2014,Bangalore,1,23,Female,No,1,0,49915
Bachelors,2017,Bangalore,3,23,Female,No,1,0,91215
Bachelors,2012,Bangalore,3,39,Male,No,1,0,102356
PHD,2015,New Delhi,1,37,Male,No,1,0,90021
Bachelors,2017,Pune,3,38,Male,No,2,0,106595
Bachelors,2013,Bangalore,3,31,Female,No,0,1,74437
Bachelors,2016,Bangalore,3,38,Male,No,5,0,80244
Bachelors,2017,Bangalore,3,25,Female,No,3,0,103719
Bachelors,2015,Bangalore,3,27,Female,Yes,5,1,107311
Bachelors,2016,Pune,2,36,Male,No,0,1,118267
Bachelors,2017,Pune,2,27,Female,No,5,1,47168
Masters,2015,Pune,2,32,Female,No,4,0,90711
Bachelors,2014,Bangalore,3,28,Male,No,4,0,97269
Masters,2012,New Delhi,3,32,Male,No,2,0,117317
Bachelors,2018,Bangalore,3,30,Male,No,0,1,47182
Bachelors,2015,New Delhi,3,22,Male,No,0,0,113046
Bachelors,2017,New Delhi,2,34,Female,No,5,0,87783
Masters,2013,New Delhi,3,36,Male,No,2,0,85575
Bachelors,2014,Bangalore,3,39,Male,No,3,1,38843
PHD,2018,Bangalore,3,26,Male,No,4,1,108381
Bachelors,2016,Bangalore,3,31,Female,No,0,0,41626
Bachelors,2014,Bangalore,3,27,Male,No,5,1,116592
Bachelors,2014,Bangalore,3,29,Female,No,0,0,112023
Bachelors,2015,Bangalore,3,24,Female,No,2,1,42400
Masters,2012,Pune,3,25,Male,No,3,1,73027
Bachelors,2013,Pune,3,25,Male,No,3,0,99548
Masters,2017,New Delhi,3,26,Female,No,4,1,31616
Bachelors,2015,Pune,2,28,Female,Yes,1,1,55892
Bachelors,2017,New Delhi,3,28,Male,No,2,0,85998
Masters,2015,Pune,1,28,Female,No,3,1,46213
Masters,2015,New Delhi,3,25,Male,No,3,0,114166
Bachelors,2017,Bangalore,3,28,Male,No,1,0,69138
Masters,2013,Pune,3,25,Male,No,3,0,111392
Bachelors,2015,Bangalore,2,25,Female,No,3,1,67258
Bachelors,2015,Bangalore,3,27,Female,No,5,0,101141
Bachelors,2017,Pune,2,27,Female,No,5,1,43854
Bachelors,2013,Bangalore,3,27,Male,No,5,1,80854
Bachelors,2012,Bangalore,3,25,Male,No,3,0,104756
Masters,2017,New Delhi,2,28,Male,No,2,0,32680
Bachelors,2014,Pune,1,26,Female,No,4,1,34721
Bachelors,2015,Bangalore,3,28,Male,No,2,0,118304
Masters,2013,New Delhi,3,26,Male,No,4,0,71033
Bachelors,2017,Bangalore,3,26,Female,No,4,0,98817
Bachelors,2017,New Delhi,2,25,Male,No,3,0,105773
Bachelors,2012,Bangalore,1,28,Female,No,3,0,110386
PHD,2015,New Delhi,3,26,Male,No,4,0,94054
Bachelors,2015,New Delhi,3,25,Female,No,3,0,98126
Bachelors,2012,Bangalore,3,26,Male,No,4,1,30944
Bachelors,2014,Bangalore,3,28,Female,No,3,0,86657
Masters,2014,Pune,3,24,Male,No,2,0,50441
Bachelors,2013,Bangalore,3,28,Male,No,1,0,75540
Bachelors,2015,Pune,3,27,Male,No,5,0,38934
Bachelors,2018,Bangalore,3,25,Male,No,3,1,118606
Masters,2013,Pune,1,24,Male,No,2,1,39226
Bachelors,2017,Bangalore,3,26,Female,No,4,0,115157
Bachelors,2013,Bangalore,3,28,Male,No,1,1,86835
Masters,2016,New Delhi,3,27,Male,No,5,0,106662
Masters,2017,Bangalore,3,26,Male,No,4,0,31566
Masters,2017,New Delhi,2,24,Male,No,2,0,31216
Masters,2018,New Delhi,3,26,Male,No,4,1,111359
Masters,2017,New Delhi,1,25,Female,No,3,1,37389
